,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,0.7,0.5,,,,,
activation,,,,,,,,,,,,,tanh,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.1,,,,,,,,,,1e-05,,,0.6,0.0009
bootstrap_features,,1.0,,,,,,,,,,,,,,,
criterion,,,,gini,gini,gini,,friedman_mse,,,,,,,entropy,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.38303571428571426,0.8284523809523809,0.0012195121951219514,0.513095238095238,0.4743650793650794,0.9125,0.7685714285714285,0.5017857142857143,0.8383333333333333,0.9149999999999998,0.9400000000000001,0.9650000000000001,0.8416666666666666,0.9383333333333332,0.8351190476190476,0.9400000000000001,0.9216666666666666
f1_train,0.6199992252415698,1.0,0.21008059690986522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
l2_regularization,,,,,,,,,0.0,,,,,,,,
learning_rate,0.1,,,,,,,0.1,,,,,adaptive,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,cosine,,,
multi_class,,,,,,,,,,,ovr,,,,,,
n_estimators,70,45.0,,,,45,,,,,,,,,45,,
n_neighbors,,,,,,,,,,3,,,,,,,
oob_score,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,2,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,l1
solver,,,,,,,,,,,,liblinear,lbfgs,,,,
splitter,,,,best,best,,,,,,,,,,,,
test,0.4,0.8375,0.025,0.5625,0.475,0.925,0.7875,0.55,0.8625,0.925,0.95,0.975,0.8625,0.95,0.85,0.95,0.925
tol,,,,,,,,1.6666666666666667e-06,1e-08,,0.0001,0.0001,,,,0.0001,1.4285714285714285e-05
tr_time,0.7379499999999997,0.6781689999999996,0.19959099999999985,0.3065060000000006,0.014377999999998892,0.11604700000000001,0.2592289999999995,2.935437000000002,21.86657,0.06526999999999994,0.7974070000000015,1.4583390000000005,1.821204999999999,0.010552999999999813,0.35217900000000046,0.23155099999999962,1.0929900000000004
train,0.615625,1.0,0.153125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,0,,,,,,,,,0,,
weights,,,,,,,,,,distance,,,,,,,
