,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,1.4,1.4,,,,,,
activation,,,,,,,,,,,,,tanh,,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,1e-05,,,,1.1,0.0008
bootstrap_features,,1.0,,,,,,,,,,,,,,,,
criterion,,,,entropy,entropy,gini,,friedman_mse,,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,False,,,
f1_test,0.7709233212142808,0.9464404118888571,0.022752808988764042,0.8403422341585943,0.7737066565160006,0.9525931020360754,0.8264645544058906,0.9449674016695452,0.9649615547351954,0.9721808891683161,0.9168362418898628,0.9029762849429885,0.9492053146480982,0.8396677604394109,0.8782649392638461,0.9513763431964146,0.852202164325305,0.900914281652635
f1_train,0.7695826382635571,0.9999821428725671,0.024460350615657003,1.0,1.0,1.0,0.8226489662870017,0.9851261777490116,1.0,1.0,0.9183635745314628,0.903167745317682,0.9504021814722757,0.8342459988199813,0.8757516351936158,1.0,0.8475649495402867,0.9025472913151545
l2_regularization,,,,,,,,,0.0,,,,,,,,,
learning_rate,0.5,,,,,,,0.4,,,,,invscaling,,,,,
loss,,,,,,,,deviance,,,,,,,hinge,,,hinge
metric,,,,,,,,,,,,,,euclidean,,,,
multi_class,,,,,,,,,,,crammer_singer,,,,,,,
n_estimators,90,40.0,,,,45,,,,,,,,,,45,,
n_neighbors,,,,,,,,,,4,,,,,,,,
oob_score,,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,2,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,none
solver,,,,,,,,,,,,liblinear,lbfgs,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,0.7696428571428572,0.9465,0.1125,0.8403571428571428,0.7740714285714285,0.9526428571428571,0.8238571428571428,0.9449285714285715,0.9649285714285715,0.9722142857142857,0.917,0.9032857142857142,0.9492142857142857,0.8395,0.8805,0.9514285714285714,0.8536428571428571,0.901
tol,,,,,,,,1.25e-06,1e-08,,0.0001,2.5e-05,,,3.3333333333333335e-05,,0.0001,1.6666666666666667e-05
tr_time,42.16287299999999,151.80543400000002,0.3972569999999678,14.737924000000021,2.1823269999999866,3.85056400000002,0.35624500000000126,329.5284150000002,62.55624799999987,2.8063889999999674,21.540604999999914,14.251230000000021,339.47489499999983,0.23302300000000287,2.5628300000000195,18.49989499999998,0.9489949999999681,20.224135999999987
train,0.7681964285714286,0.9999821428571428,0.113375,1.0,1.0,1.0,0.8200892857142857,0.985125,1.0,1.0,0.918625,0.9036607142857143,0.9504285714285714,0.8341964285714286,0.87825,1.0,0.8494464285714286,0.9028571428571428
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,1,0,,
weights,,,,,,,,,,distance,,,,,,,,
