,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,0.5,1.3,,,,,
activation,,,,,,,,,,,,,relu,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.1,,,,,,,,,,5e-06,,,1.2,0.0008
bootstrap_features,,1.0,,,,,,,,,,,,,,,
criterion,,,,gini,gini,gini,,friedman_mse,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.4616666666666666,0.8166666666666667,0.0012195121951219514,0.6859523809523809,0.6475,0.8916666666666668,0.7337301587301587,0.8058333333333334,0.6884523809523809,0.8833333333333332,0.9733333333333334,0.9733333333333334,0.9016666666666666,0.9516666666666665,0.8234523809523809,0.9733333333333334,0.9608333333333334
f1_train,0.5103847481021394,1.0,0.21619477549055013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9937254901960785,1.0,0.9906004901960784,1.0,1.0,0.9937254901960785
l2_regularization,,,,,,,,,0.1,,,,,,,,
learning_rate,0.1,,,,,,,0.1,,,,,adaptive,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,euclidean,,,
multi_class,,,,,,,,,,,ovr,,,,,,
n_estimators,80,40.0,,,,45,,,,,,,,,45,,
n_neighbors,,,,,,,,,,3,,,,,,,
oob_score,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,3,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,none
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,
splitter,,,,random,best,,,,,,,,,,,,
test,0.4625,0.8375,0.025,0.7,0.6625,0.9125,0.7625,0.8,0.7125,0.9,0.975,0.975,0.9125,0.9625,0.8375,0.975,0.9625
tol,,,,,,,,2.5e-06,1e-08,,0.0001,0.0001,,,,0.0001,2e-05
tr_time,0.7706820000000003,1.1293679999999995,0.1399240000000006,0.3148300000000006,0.017624000000001416,0.12682600000000033,0.23224300000000042,2.7190060000000003,15.011580000000002,0.06372399999999878,1.0295949999999987,3.8432439999999994,2.3725320000000014,0.011409000000000447,0.25879799999999964,0.19574200000000097,1.2161399999999993
train,0.5125,1.0,0.1625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99375,1.0,0.990625,1.0,1.0,0.99375
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,1,,
weights,,,,,,,,,,distance,,,,,,,
