,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,1.4,1.4,,,,,,
activation,,,,,,,,,,,,,tanh,,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,2e-06,,,,1.4,0.0008
bootstrap_features,,1.0,,,,,,,,,,,,,,,,
criterion,,,,entropy,entropy,gini,,friedman_mse,,,,,,,,entropy,,
early_stopping,,,,,,,,,,,,,True,,False,,,
f1_test,0.7376489868776224,0.9520844065941322,0.02291204451463075,0.8586225000499328,0.8024122048788546,0.9595774617151137,0.8593098469933832,0.9404365149491645,0.9653416778674551,0.9764920254981669,0.8955111564255556,0.8772557377284956,0.9582045197665588,0.8240666796886046,0.8476078860956182,0.9516477027674816,0.8149957259471391,0.8803112999442049
f1_train,0.7387154643759467,1.0,0.023415449651429842,1.0,1.0,1.0,0.8620676937207146,0.9800714020595842,1.0,1.0,0.8970505891245133,0.8795107769403292,0.9598818256407947,0.8299393894998931,0.8511979570030541,0.9999642856746269,0.8217776716149643,0.8824073331779162
l2_regularization,,,,,,,,,0.0,,,,,,,,,
learning_rate,0.5,,,,,,,0.3,,,,,constant,,,,,
loss,,,,,,,,deviance,,,,,,,hinge,,,hinge
metric,,,,,,,,,,,,,,euclidean,,,,
multi_class,,,,,,,,,,,crammer_singer,,,,,,,
n_estimators,80,45.0,,,,45,,,,,,,,,,45,,
n_neighbors,,,,,,,,,,4,,,,,,,,
oob_score,,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,2,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,none
solver,,,,,,,,,,,,liblinear,lbfgs,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,0.7366428571428572,0.9521428571428572,0.11257142857142857,0.8586428571428572,0.8024285714285714,0.9596428571428571,0.8588571428571429,0.9405,0.9653571428571428,0.9765,0.8959285714285714,0.8782857142857143,0.9582142857142857,0.8239285714285715,0.8458571428571429,0.9517142857142857,0.8183571428571429,0.8808571428571429
tol,,,,,,,,1.6666666666666667e-06,1e-08,,0.0001,5e-05,,,2.5e-05,,0.0001,1.4285714285714285e-05
tr_time,21.298961999999996,81.65747999999999,0.35892999999998665,7.285262999999986,1.3468210000000909,2.52188799999999,0.3294569999999908,163.34453000000008,40.78191199999992,1.706218000000007,7.944900999999845,9.423959999999994,312.693258,0.21617600000001858,1.5060750000000098,33.654060000000015,0.7022939999999949,13.749402000000003
train,0.7374285714285714,1.0,0.11285714285714285,1.0,1.0,1.0,0.8615892857142857,0.9800892857142857,1.0,1.0,0.8973928571428571,0.8803392857142858,0.9598928571428571,0.8300178571428571,0.8493571428571428,0.9999642857142857,0.8251607142857142,0.882875
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,0,,,,,,,,,1,0,,
weights,,,,,,,,,,distance,,,,,,,,
