,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,0.6,1.2,,,,,
activation,,,,,,,,,,,,,logistic,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.1,,,,,,,,,,1e-05,,,0.5,0.0008
bootstrap_features,,1.0,,,,,,,,,,,,,,,
criterion,,,,gini,gini,gini,,friedman_mse,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.4687301587301588,0.9099999999999999,0.0012195121951219514,0.5780357142857142,0.5005952380952381,0.9533333333333334,0.96,0.5168650793650793,0.8233333333333333,0.8808333333333334,0.9341666666666667,0.9208333333333332,0.9208333333333332,0.8933333333333333,0.9733333333333333,0.905,0.9266666666666665
f1_train,0.7803130654175546,1.0,0.1449652672908487,1.0,1.0,1.0,0.9968627450980392,1.0,1.0,1.0,1.0,0.9844771241830067,1.0,0.9774333836098542,1.0,0.957895568483804,1.0
l2_regularization,,,,,,,,,0.0,,,,,,,,
learning_rate,0.1,,,,,,,0.1,,,,,constant,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,euclidean,,,
multi_class,,,,,,,,,,,ovr,,,,,,
n_estimators,90,40.0,,,,45,,,,,,,,,40,,
n_neighbors,,,,,,,,,,3,,,,,,,
oob_score,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,2,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,none
solver,,,,,,,,,,,,sag,lbfgs,,,,
splitter,,,,best,best,,,,,,,,,,,,
test,0.525,0.9125,0.025,0.6125,0.5375,0.9625,0.9625,0.5125,0.85,0.8875,0.9375,0.925,0.925,0.9,0.975,0.9125,0.9375
tol,,,,,,,,5e-06,1e-08,,0.0001,0.0001,,,,0.0001,1.1111111111111112e-05
tr_time,0.4385999999999999,0.311855,0.33803800000000006,0.3090820000000001,0.013408000000000087,0.08125999999999989,0.37737200000000026,2.4356560000000016,17.788057000000002,0.052967999999999904,0.49298600000000015,1.2000349999999997,1.2126560000000008,0.010343999999999909,0.14346700000000023,0.1944840000000001,0.8932250000000002
train,0.790625,1.0,0.109375,1.0,1.0,1.0,0.996875,1.0,1.0,1.0,1.0,0.984375,1.0,0.978125,1.0,0.959375,1.0
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,1,,
weights,,,,,,,,,,distance,,,,,,,
