,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,1.2,1.3,,,,,
activation,,,,,,,,,,,,,tanh,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.4,,,,,,,,,,1.1111111111111112e-06,,,0.7,0.001
bootstrap_features,,1.0,,,,,,,,,,,,,,,
criterion,,,,gini,gini,gini,,friedman_mse,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.4781944444444444,0.8991666666666667,0.6959523809523809,0.5877777777777777,0.530952380952381,0.8975,0.4735286935286934,0.6972222222222222,0.845,0.9341666666666667,0.9608333333333334,0.9358333333333334,0.9341666666666665,0.9,0.8841666666666665,0.9475,0.9358333333333334
f1_train,0.5208531455209954,1.0,0.9781401727357611,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9968627450980392,1.0,0.9782271241830067,1.0,1.0,1.0
l2_regularization,,,,,,,,,0.0,,,,,,,,
learning_rate,0.1,,,,,,,0.1,,,,,invscaling,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,cosine,,,
multi_class,,,,,,,,,,,ovr,,,,,,
n_estimators,40,40.0,,,,40,,,,,,,,,35,,
n_neighbors,,,,,,,,,,3,,,,,,,
oob_score,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,1,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,elasticnet
solver,,,,,,,,,,,,liblinear,lbfgs,,,,
splitter,,,,best,best,,,,,,,,,,,,
test,0.4875,0.9125,0.725,0.5875,0.55,0.9,0.475,0.7,0.85,0.9375,0.9625,0.9375,0.9375,0.9,0.8875,0.95,0.9375
tol,,,,,,,,2.5e-06,1e-08,,0.0001,0.0001,,,,0.0001,5e-05
tr_time,0.40811300000000017,0.5312680000000043,0.14524000000000115,0.26156599999999486,0.016790000000000305,0.08130099999999629,0.21408600000000177,2.545392999999997,22.070655999999993,0.06183500000000208,0.5068350000000024,1.4836500000000044,1.1677560000000042,0.011409999999997922,0.13433299999999804,0.221580000000003,1.1245389999999986
train,0.528125,1.0,0.978125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996875,1.0,0.978125,1.0,1.0,1.0
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,1,,
weights,,,,,,,,,,distance,,,,,,,
