,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,1.4,1.4,,,,,,
activation,,,,,,,,,,,,,logistic,,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,5e-06,,,,0.5,0.0011
bootstrap_features,,1.0,,,,,,,,,,,,,,,,
criterion,,,,entropy,entropy,entropy,,friedman_mse,,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,False,,,
f1_test,0.9647247085304307,0.9384383268099622,0.48896434634974534,0.9384383268099622,0.8308554923116133,0.9470870627956459,0.9212409881140532,0.9384383268099622,0.9647247085304307,0.9380859556298152,0.9554882874504246,0.9372286827846255,0.9649122807017544,0.9554882874504246,0.9554882874504246,0.956244993396696,0.9554882874504246,0.9647247085304307
f1_train,0.9955990754807322,1.0,0.5166369074617044,1.0,1.0,1.0,0.9205805422122786,1.0,1.0,0.9735612819236513,0.9689851260130365,0.9463152880874399,1.0,0.9554153473645,0.9599393508000429,1.0,0.9667452160095401,0.9868285285260822
l2_regularization,,,,,,,,,0.0,,,,,,,,,
learning_rate,0.2,,,,,,,0.3,,,,,constant,,,,,
loss,,,,,,,,deviance,,,,,,,squared_hinge,,,modified_huber
metric,,,,,,,,,,,,,,cosine,,,,
multi_class,,,,,,,,,,,ovr,,,,,,,
n_estimators,80,45.0,,,,30,,,,,,,,,,30,,
n_neighbors,,,,,,,,,,4,,,,,,,,
oob_score,,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,2,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,l1
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,0.9649122807017544,0.9385964912280702,0.631578947368421,0.9385964912280702,0.8333333333333334,0.9473684210526315,0.9210526315789473,0.9385964912280702,0.9649122807017544,0.9385964912280702,0.956140350877193,0.9385964912280702,0.9649122807017544,0.956140350877193,0.956140350877193,0.956140350877193,0.956140350877193,0.9649122807017544
tol,,,,,,,,5e-06,1e-08,,0.0001,0.0001,,,1.4285714285714285e-05,,0.0001,1.4285714285714285e-05
tr_time,0.32699600000000006,0.09516900000000028,0.22857000000000038,0.07579899999999995,0.16332799999999992,0.06296999999999997,0.038924999999999876,0.18979900000000072,1.282121,0.05475899999999978,0.49502299999999977,0.3358810000000001,2.608981,0.008682999999999552,0.444404,0.08781300000000014,0.44299599999999995,0.9010230000000004
train,0.9956043956043956,1.0,0.6417582417582418,1.0,1.0,1.0,0.9208791208791208,1.0,1.0,0.9736263736263736,0.9692307692307692,0.9472527472527472,1.0,0.9560439560439561,0.9604395604395605,1.0,0.967032967032967,0.9868131868131869
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,1,1,,
weights,,,,,,,,,,uniform,,,,,,,,
