,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,0.6,0.5,,,,,
activation,,,,,,,,,,,,,tanh,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.1,,,,,,,,,,3.3333333333333333e-06,,,1.3,0.0009
bootstrap_features,,1.0,,,,,,,,,,,,,,,
criterion,,,,gini,entropy,gini,,friedman_mse,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.41909090909090907,0.82,0.0012195121951219514,0.5386111111111112,0.3155952380952381,0.9199999999999999,0.8574242424242424,0.3524999999999999,0.8091666666666665,0.824090909090909,0.9866666666666667,0.9733333333333333,0.7458333333333333,0.8776190476190475,0.8574999999999999,0.9733333333333334,0.8727777777777778
f1_train,0.7593057432763315,1.0,0.33073110916860915,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
l2_regularization,,,,,,,,,0.0,,,,,,,,
learning_rate,0.1,,,,,,,0.2,,,,,constant,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,euclidean,,,
multi_class,,,,,,,,,,,ovr,,,,,,
n_estimators,70,40.0,,,,45,,,,,,,,,45,,
n_neighbors,,,,,,,,,,3,,,,,,,
oob_score,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,1,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,elasticnet
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,
splitter,,,,best,best,,,,,,,,,,,,
test,0.4375,0.8375,0.025,0.5625,0.35,0.925,0.8625,0.3625,0.8125,0.825,0.9875,0.975,0.775,0.8875,0.8625,0.975,0.8625
tol,,,,,,,,1e-05,1e-08,,0.0001,0.0001,,,,0.0001,0.0001
tr_time,0.8865790000000002,1.1753239999999998,0.10504800000000003,0.3043520000000015,0.0281179999999992,0.12813499999999944,0.2871319999999997,2.5025200000000005,30.494803,0.06526900000000069,1.0089070000000024,5.436545000000001,1.918448999999999,0.011031000000000901,0.20739600000000014,0.20087900000000047,1.1706489999999992
train,0.765625,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,1,,
weights,,,,,,,,,,distance,,,,,,,
