,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,1.2,1.3,,,,,
activation,,,,,,,,,,,,,relu,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.1,,,,,,,,,,3.3333333333333333e-06,,,0.5,0.0011
bootstrap_features,,0.0,,,,,,,,,,,,,,,
criterion,,,,gini,entropy,gini,,friedman_mse,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.41753968253968254,0.7459523809523809,0.0012195121951219514,0.6174999999999999,0.5121428571428571,0.7841666666666667,0.7241666666666667,0.6017857142857143,0.6741666666666667,0.7776190476190475,0.6576190476190475,0.5792857142857143,0.7391666666666665,0.6992857142857143,0.7708333333333333,0.4541666666666666,0.7067857142857144
f1_train,0.5915878946288153,1.0,0.029016167870657035,1.0,1.0,1.0,0.9089157329598507,1.0,1.0,1.0,0.7952036476165733,0.6949559111768864,1.0,0.8217216282599409,1.0,0.5655446763221398,0.8453228101447916
l2_regularization,,,,,,,,,0.0,,,,,,,,
learning_rate,0.1,,,,,,,0.2,,,,,adaptive,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,euclidean,,,
multi_class,,,,,,,,,,,ovr,,,,,,
n_estimators,60,30.0,,,,30,,,,,,,,,45,,
n_neighbors,,,,,,,,,,4,,,,,,,
oob_score,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,3,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,none
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,
splitter,,,,best,best,,,,,,,,,,,,
test,0.4375,0.7625,0.025,0.6125,0.55,0.8,0.7375,0.6,0.6875,0.8,0.7,0.65,0.75,0.7,0.7875,0.55,0.7375
tol,,,,,,,,2.5e-06,1e-08,,0.0001,0.0001,,,,0.0001,1.25e-05
tr_time,0.3132740000000003,0.09248499999999993,0.019787,0.016804999999999737,0.01562299999999972,0.06891799999999959,0.020398000000000138,1.8319019999999995,16.464314,0.06390299999999982,0.5271559999999997,0.7961979999999995,1.965655,0.01036700000000046,0.11920299999999973,0.16948399999999975,0.9329689999999999
train,0.615625,1.0,0.040625,1.0,1.0,1.0,0.909375,1.0,1.0,1.0,0.815625,0.740625,1.0,0.825,1.0,0.640625,0.85
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,1,,
weights,,,,,,,,,,distance,,,,,,,
