,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,0.5,1.3,,,,,
activation,,,,,,,,,,,,,tanh,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.1,,,,,,,,,,1.25e-06,,,1.2,0.0008
bootstrap_features,,0.0,,,,,,,,,,,,,,,
criterion,,,,gini,gini,gini,,friedman_mse,,,,,,,entropy,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.5591666666666667,0.8176190476190476,0.0012195121951219514,0.4730952380952381,0.35992063492063486,0.8875,0.9167857142857143,0.41916666666666663,0.8483333333333334,0.9866666666666667,1.0,1.0,0.9333333333333332,0.9616666666666667,0.925,0.9733333333333333,0.9600000000000002
f1_train,0.8770405900125784,1.0,0.22212049826890817,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9968627450980392,1.0,1.0,1.0
l2_regularization,,,,,,,,,0.0,,,,,,,,
learning_rate,0.1,,,,,,,0.2,,,,,invscaling,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,euclidean,,,
multi_class,,,,,,,,,,,ovr,,,,,,
n_estimators,80,45.0,,,,40,,,,,,,,,45,,
n_neighbors,,,,,,,,,,3,,,,,,,
oob_score,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,1,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,l1
solver,,,,,,,,,,,,sag,lbfgs,,,,
splitter,,,,random,best,,,,,,,,,,,,
test,0.575,0.8375,0.025,0.5,0.3875,0.9,0.925,0.4375,0.8625,0.9875,1.0,1.0,0.9375,0.9625,0.9375,0.975,0.9625
tol,,,,,,,,1.25e-06,1e-08,,0.0001,0.0001,,,,0.0001,0.0001
tr_time,0.7454879999999999,0.7113160000000001,0.21072200000000052,0.25974699999999906,0.015435000000000088,0.11071900000000001,0.20627100000000098,2.1774689999999985,21.917288,0.06199400000000033,0.8422059999999991,1.859401,1.2653689999999997,0.010778999999999428,0.348525,0.17789300000000008,1.066484
train,0.88125,1.0,0.165625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996875,1.0,1.0,1.0
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,0,,
weights,,,,,,,,,,distance,,,,,,,
