,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,0.9,1.4,,,,,
activation,,,,,,,,,,,,,tanh,,,,
algorithm,SAMME,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.1,,,,,,,,,,1.1111111111111112e-06,,,1.0,0.0011
bootstrap_features,,0.0,,,,,,,,,,,,,,,
criterion,,,,gini,gini,gini,,friedman_mse,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.16815920398009948,0.6833333333333333,0.0012195121951219514,0.5880555555555556,0.5001190476190476,0.7187301587301587,0.64625,0.7095833333333333,0.3254761904761905,0.8333333333333333,0.9466666666666665,0.9733333333333333,0.7809523809523808,0.8759523809523809,0.6379761904761905,0.9733333333333333,0.8541666666666666
f1_train,0.23562463941872774,1.0,0.39825059713948596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
l2_regularization,,,,,,,,,0.1,,,,,,,,
learning_rate,0.6,,,,,,,0.1,,,,,adaptive,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,euclidean,,,
multi_class,,,,,,,,,,,ovr,,,,,,
n_estimators,80,35.0,,,,40,,,,,,,,,45,,
n_neighbors,,,,,,,,,,3,,,,,,,
oob_score,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,3,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,none
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,
splitter,,,,random,best,,,,,,,,,,,,
test,0.175,0.7,0.025,0.6,0.525,0.75,0.65,0.7125,0.35,0.85,0.95,0.975,0.7875,0.8875,0.675,0.975,0.8625
tol,,,,,,,,2e-06,1e-08,,0.0001,0.0001,,,,0.0001,1.25e-05
tr_time,0.965349999999999,2.3165340000000008,0.13949400000000267,0.29941300000000126,0.025014000000002312,0.13198199999999893,0.17829800000000162,4.160326000000001,22.274193999999998,0.07887500000000003,1.7116250000000015,4.452177000000001,2.553605000000001,0.012802000000000646,0.3578620000000008,0.20299799999999912,1.4643529999999991
train,0.228125,1.0,0.290625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,1,,
weights,,,,,,,,,,distance,,,,,,,
