,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,0.5,0.5,,,,,
activation,,,,,,,,,,,,,tanh,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.1,,,,,,,,,,1.25e-06,,,0.7,0.0008
bootstrap_features,,1.0,,,,,,,,,,,,,,,
criterion,,,,gini,gini,gini,,friedman_mse,,,,,,,entropy,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.4919083694083694,0.9091666666666667,0.0012195121951219514,0.43714285714285717,0.31380952380952376,0.9225,0.8854761904761904,0.46321428571428563,0.8941666666666667,0.8376190476190477,0.9866666666666667,0.9866666666666667,0.8133333333333332,0.9516666666666665,0.8591666666666666,0.9866666666666667,0.9733333333333333
f1_train,0.7799849424597876,1.0,0.31407279274983557,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
l2_regularization,,,,,,,,,0.0,,,,,,,,
learning_rate,0.1,,,,,,,0.1,,,,,adaptive,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,euclidean,,,
multi_class,,,,,,,,,,,crammer_singer,,,,,,
n_estimators,90,40.0,,,,40,,,,,,,,,40,,
n_neighbors,,,,,,,,,,3,,,,,,,
oob_score,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,1,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,l1
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,
splitter,,,,best,best,,,,,,,,,,,,
test,0.525,0.9125,0.025,0.475,0.325,0.925,0.8875,0.4875,0.9,0.85,0.9875,0.9875,0.8375,0.9625,0.8625,0.9875,0.975
tol,,,,,,,,1.4285714285714286e-06,1e-08,,0.0001,0.0001,,,,0.0001,5e-05
tr_time,0.994275,1.1006520000000002,0.1591049999999985,0.3217029999999994,0.01490100000000183,0.1216520000000001,0.265371,4.693807,30.972126000000003,0.0666910000000005,2.0100700000000025,4.702919,1.6645500000000002,0.010887000000000313,0.43412700000000015,0.1786979999999989,1.0998409999999996
train,0.7875,1.0,0.246875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,0,,,,,,,,,1,,
weights,,,,,,,,,,distance,,,,,,,
