,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,0.7,0.5,,,,,
activation,,,,,,,,,,,,,tanh,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.1,,,,,,,,,,1.25e-06,,,1.0,0.0009
bootstrap_features,,1.0,,,,,,,,,,,,,,,
criterion,,,,entropy,gini,gini,,friedman_mse,,,,,,,entropy,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.47968253968253965,0.845,0.0012195121951219514,0.5123809523809524,0.3485714285714286,0.9099999999999999,0.8737301587301587,0.5758333333333333,0.7666666666666666,0.8883333333333333,0.9341666666666667,0.9199999999999999,0.8025,0.8766666666666666,0.9341666666666665,0.9199999999999999,0.8409523809523808
f1_train,0.8237940935483504,1.0,0.23742701742701744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
l2_regularization,,,,,,,,,0.0,,,,,,,,
learning_rate,0.1,,,,,,,0.1,,,,,constant,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,cosine,,,
multi_class,,,,,,,,,,,crammer_singer,,,,,,
n_estimators,90,40.0,,,,45,,,,,,,,,45,,
n_neighbors,,,,,,,,,,3,,,,,,,
oob_score,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,2,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,none
solver,,,,,,,,,,,,liblinear,lbfgs,,,,
splitter,,,,best,best,,,,,,,,,,,,
test,0.5125,0.8625,0.025,0.55,0.375,0.9125,0.875,0.6,0.7875,0.9,0.9375,0.925,0.8125,0.8875,0.9375,0.925,0.85
tol,,,,,,,,2e-06,1e-08,,0.0001,0.0001,,,,0.0001,3.3333333333333335e-05
tr_time,0.7823100000000003,0.6000559999999999,0.2447090000000003,0.34389600000000087,0.013740000000000308,0.1114550000000003,0.3143950000000002,2.907653,21.987844000000003,0.06440100000000015,1.095756999999999,1.4219799999999996,1.2268310000000007,0.010269999999998447,0.3620969999999999,0.17999199999999949,1.2579530000000005
train,0.828125,1.0,0.175,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,0,,
weights,,,,,,,,,,distance,,,,,,,
