,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,0.7,1.0,,,,,
activation,,,,,,,,,,,,,tanh,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.7,,,,,,,,,,1.1111111111111112e-06,,,0.5,0.0008
bootstrap_features,,1.0,,,,,,,,,,,,,,,
criterion,,,,gini,gini,gini,,friedman_mse,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.34775641025641024,0.7508333333333332,0.6002380952380951,0.45,0.41374999999999995,0.8433333333333334,0.08140567765567766,0.7559523809523809,0.7283333333333333,0.8236904761904761,0.9599999999999997,0.9466666666666665,0.9,0.8891666666666665,0.8399999999999999,0.925,0.96
f1_train,0.43581449623848706,1.0,0.9968627450980392,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9781279178338004,1.0,1.0,1.0
l2_regularization,,,,,,,,,0.1,,,,,,,,
learning_rate,0.1,,,,,,,0.1,,,,,constant,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,euclidean,,,
multi_class,,,,,,,,,,,ovr,,,,,,
n_estimators,70,45.0,,,,40,,,,,,,,,45,,
n_neighbors,,,,,,,,,,4,,,,,,,
oob_score,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,2,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,l2
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,
splitter,,,,random,best,,,,,,,,,,,,
test,0.35,0.7875,0.65,0.4875,0.45,0.875,0.1125,0.775,0.7625,0.8375,0.9625,0.95,0.9125,0.9,0.8625,0.9375,0.9625
tol,,,,,,,,3.3333333333333333e-06,1e-08,,0.0001,0.0001,,,,0.0001,1.4285714285714285e-05
tr_time,0.7785289999999918,1.000866000000002,0.11669699999998784,0.3004880000000014,0.014941999999990685,0.12419700000000944,0.27480400000001737,3.0012210000000152,16.348443000000003,0.06676899999999364,0.4984939999999938,3.475668000000013,1.1950290000000052,0.011740000000003192,0.17520100000001548,0.22543199999998365,1.1632600000000082
train,0.428125,1.0,0.996875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.978125,1.0,1.0,1.0
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,0,,,,,,,,,0,,
weights,,,,,,,,,,distance,,,,,,,
