,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,1.3,1.4,,,,,
activation,,,,,,,,,,,,,relu,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.1,,,,,,,,,,1.1111111111111112e-06,,,0.5,0.001
bootstrap_features,,1.0,,,,,,,,,,,,,,,
criterion,,,,gini,gini,gini,,friedman_mse,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.3584523809523809,0.7408333333333333,0.0012195121951219514,0.5137301587301588,0.4538888888888889,0.7858333333333333,0.7558333333333332,0.5563690476190477,0.7133333333333333,0.8083333333333332,0.7117857142857142,0.5900000000000001,0.8025,0.7849999999999999,0.7966666666666666,0.46319444444444446,0.775
f1_train,0.674798237485519,1.0,0.040134994807892,1.0,1.0,1.0,0.9378017985196779,1.0,1.0,1.0,0.8010442790783348,0.6977431677799325,1.0,0.8610491986943225,1.0,0.5653159625656967,0.8426201116564893
l2_regularization,,,,,,,,,0.0,,,,,,,,
learning_rate,0.2,,,,,,,0.2,,,,,adaptive,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,euclidean,,,
multi_class,,,,,,,,,,,ovr,,,,,,
n_estimators,90,45.0,,,,40,,,,,,,,,40,,
n_neighbors,,,,,,,,,,5,,,,,,,
oob_score,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,3,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,none
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,
splitter,,,,best,best,,,,,,,,,,,,
test,0.4125,0.775,0.025,0.5625,0.475,0.7875,0.775,0.575,0.7375,0.8125,0.7375,0.65,0.8125,0.8,0.8,0.5375,0.7875
tol,,,,,,,,1.1111111111111112e-06,1e-08,,0.0001,0.0001,,,,0.0001,1.25e-05
tr_time,0.3365420000000001,0.11455100000000007,0.019593000000000416,0.016003000000000434,0.01267199999999935,0.07153399999999976,0.02121800000000018,1.855366,16.046839,0.05848999999999993,0.49461699999999986,0.9133630000000004,1.7388620000000001,0.010117000000000154,0.11615200000000003,0.173616,0.8896140000000003
train,0.68125,1.0,0.046875,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.821875,0.74375,1.0,0.859375,1.0,0.628125,0.846875
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,0,,,,,,,,,1,,
weights,,,,,,,,,,distance,,,,,,,
