,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,1.2,1.4,,,,,
activation,,,,,,,,,,,,,logistic,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.1,,,,,,,,,,1.4285714285714286e-06,,,0.8,0.0011
bootstrap_features,,1.0,,,,,,,,,,,,,,,
criterion,,,,gini,entropy,gini,,friedman_mse,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.571984126984127,0.8941666666666667,0.0012195121951219514,0.5516666666666666,0.5458928571428572,0.9266666666666665,0.8858333333333335,0.5617857142857142,0.9008333333333333,0.96,0.9466666666666665,0.9333333333333332,0.96,0.9616666666666667,0.9233333333333332,0.7541666666666667,0.9733333333333333
f1_train,0.7451041547212802,1.0,0.08350017749378771,1.0,1.0,1.0,0.9937254901960785,1.0,1.0,1.0,0.9745098039215687,0.9384037653522947,1.0,0.9493493230625585,1.0,0.8740150119058787,0.9777264239028944
l2_regularization,,,,,,,,,0.0,,,,,,,,
learning_rate,0.1,,,,,,,0.2,,,,,constant,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,euclidean,,,
multi_class,,,,,,,,,,,ovr,,,,,,
n_estimators,60,30.0,,,,30,,,,,,,,,45,,
n_neighbors,,,,,,,,,,3,,,,,,,
oob_score,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,2,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,none
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,
splitter,,,,best,best,,,,,,,,,,,,
test,0.6,0.9,0.025,0.575,0.55,0.9375,0.9,0.6,0.9125,0.9625,0.95,0.9375,0.9625,0.9625,0.925,0.8,0.975
tol,,,,,,,,1.6666666666666667e-06,1e-08,,0.0001,0.0001,,,,0.0001,1.6666666666666667e-05
tr_time,0.32623599999999997,0.134258,0.017579000000000455,0.01747299999999985,0.015342999999999662,0.06648599999999982,0.021697999999999773,1.8787329999999995,15.744157999999999,0.060697999999999475,0.497077,0.96699,1.0537199999999993,0.010124000000000244,0.13753800000000016,0.17245700000000008,0.9085420000000002
train,0.753125,1.0,0.071875,1.0,1.0,1.0,0.99375,1.0,1.0,1.0,0.975,0.940625,1.0,0.95,1.0,0.8875,0.978125
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,0,,,,,,,,,1,,
weights,,,,,,,,,,distance,,,,,,,
