,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,1.4,1.4,,,,,
activation,,,,,,,,,,,,,logistic,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.1,,,,,,,,,,2e-06,,,0.5,0.0008
bootstrap_features,,1.0,,,,,,,,,,,,,,,
criterion,,,,gini,gini,gini,,friedman_mse,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.3304656862745098,0.7891666666666666,0.0012195121951219514,0.5525,0.465,0.7825,0.7055555555555555,0.5133333333333333,0.7067857142857144,0.8283333333333331,0.6341666666666667,0.5595833333333333,0.7525000000000001,0.6621428571428571,0.7676190476190475,0.401511544011544,0.5983333333333334
f1_train,0.5182467644603195,1.0,0.040134994807892004,1.0,1.0,1.0,0.8782962662122878,1.0,1.0,1.0,0.7280468583274311,0.613571866044322,1.0,0.7517663298603701,1.0,0.5082229507715778,0.7562040324656424
l2_regularization,,,,,,,,,0.0,,,,,,,,
learning_rate,0.1,,,,,,,0.1,,,,,invscaling,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,euclidean,,,
multi_class,,,,,,,,,,,ovr,,,,,,
n_estimators,80,20.0,,,,30,,,,,,,,,40,,
n_neighbors,,,,,,,,,,3,,,,,,,
oob_score,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,1,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,none
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,
splitter,,,,best,best,,,,,,,,,,,,
test,0.375,0.8,0.025,0.6,0.4875,0.8125,0.7125,0.525,0.7125,0.85,0.6625,0.6,0.775,0.675,0.7875,0.475,0.6375
tol,,,,,,,,1e-05,1e-08,,0.0001,0.0001,,,,0.0001,1.1111111111111112e-05
tr_time,0.3350000000000364,0.0685460000000262,0.021813000000008742,0.01627400000000989,0.012904000000048654,0.06763599999999315,0.019964000000015858,2.144401000000016,75.66423500000002,0.06006099999996195,0.504558999999972,0.7758019999999988,1.7080420000000345,0.008980000000008204,0.09366699999998218,0.17618100000004233,0.8830270000000269
train,0.534375,1.0,0.046875,1.0,1.0,1.0,0.878125,1.0,1.0,1.0,0.753125,0.65625,1.0,0.75625,1.0,0.571875,0.765625
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,1,,
weights,,,,,,,,,,distance,,,,,,,
