,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,1.3,1.4,,,,,,
activation,,,,,,,,,,,,,logistic,,,,,
algorithm,SAMME,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,3.3333333333333333e-06,,,,0.7,0.0008
bootstrap_features,,1.0,,,,,,,,,,,,,,,,
criterion,,,,gini,gini,gini,,friedman_mse,,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,False,,,
f1_test,0.6205763231082713,0.8931373906206324,0.028214150099829735,0.7630227551229382,0.7166090725236087,0.9663950068056052,0.9359802397621536,0.9165933000542863,0.949603873778375,0.9663623999439164,0.9554009706574348,0.9418485915762943,0.9448331733062809,0.9224776828000772,0.9165156712727752,0.8957209411071207,0.9244499575567541,0.9556297464024651
f1_train,0.6960422537459645,1.0,0.04487680627073579,1.0,1.0,1.0,0.9367096571714606,1.0,1.0,1.0,0.9714210923760455,0.961617360054828,1.0,0.9427050922127495,0.9390436049163998,1.0,0.9388414260210036,0.9719486207014197
l2_regularization,,,,,,,,,0.0,,,,,,,,,
learning_rate,0.7,,,,,,,0.2,,,,,constant,,,,,
loss,,,,,,,,deviance,,,,,,,squared_hinge,,,modified_huber
metric,,,,,,,,,,,,,,euclidean,,,,
multi_class,,,,,,,,,,,ovr,,,,,,,
n_estimators,90,35.0,,,,45,,,,,,,,,,45,,
n_neighbors,,,,,,,,,,3,,,,,,,,
oob_score,,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,2,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,elasticnet
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,0.6,0.8944444444444445,0.10833333333333334,0.7611111111111111,0.7166666666666667,0.9666666666666667,0.9361111111111111,0.9166666666666666,0.95,0.9666666666666667,0.9555555555555556,0.9416666666666667,0.9444444444444444,0.9222222222222223,0.9166666666666666,0.8972222222222223,0.925,0.9555555555555556
tol,,,,,,,,1.1111111111111112e-06,1e-08,,0.0001,0.0001,,,2e-05,,0.0001,2e-05
tr_time,0.9919930000000003,1.0166000000000004,0.22400400000000076,0.35859900000000167,0.02066899999999805,0.12002100000000038,0.2399009999999997,2.824508999999999,16.583705,0.08711799999999847,0.7055840000000018,2.7514400000000006,4.464492,0.010118999999999545,0.4094609999999985,0.31850699999999943,0.1775859999999998,0.9523949999999992
train,0.6743215031315241,1.0,0.11482254697286012,1.0,1.0,1.0,0.9366736256089074,1.0,1.0,1.0,0.9714683368128044,0.9617258176757133,1.0,0.942240779401531,0.9401530967292971,1.0,0.9394572025052192,0.9721642310368824
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,1,0,,
weights,,,,,,,,,,distance,,,,,,,,
