,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,1.4,1.3,,,,,,
activation,,,,,,,,,,,,,relu,,,,,
algorithm,SAMME,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,1.4285714285714286e-06,,,,1.0,0.0011
bootstrap_features,,0.0,,,,,,,,,,,,,,,,
criterion,,,,entropy,entropy,entropy,,friedman_mse,,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,False,,,
f1_test,0.9326599326599326,0.9665831244778613,0.16666666666666666,0.9665831244778613,0.8976982097186702,0.9326599326599326,0.9326599326599326,0.9665831244778613,0.9326599326599326,0.9326599326599326,0.9326599326599326,0.8997493734335841,1.0,0.8997493734335841,0.7340930674264007,0.9326599326599326,0.8666666666666667,0.9326599326599326
f1_train,0.9666666666666667,0.9833229101521785,0.29098953923469806,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9666666666666667,0.9666666666666667,0.9158249158249159,0.9833333333333333,0.9247058823529412,0.7544530146156163,1.0,0.8645502645502645,0.9494886629037267
l2_regularization,,,,,,,,,0.1,,,,,,,,,
learning_rate,0.1,,,,,,,0.1,,,,,constant,,,,,
loss,,,,,,,,deviance,,,,,,,hinge,,,squared_hinge
metric,,,,,,,,,,,,,,euclidean,,,,
multi_class,,,,,,,,,,,crammer_singer,,,,,,,
n_estimators,10,5.0,,,,30,,,,,,,,,,20,,
n_neighbors,,,,,,,,,,4,,,,,,,,
oob_score,,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,3,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,l1
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,,
splitter,,,,random,best,,,,,,,,,,,,,
test,0.9333333333333333,0.9666666666666667,0.3333333333333333,0.9666666666666667,0.9,0.9333333333333333,0.9333333333333333,0.9666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9,1.0,0.9,0.7666666666666667,0.9333333333333333,0.8666666666666667,0.9333333333333333
tol,,,,,,,,1e-05,1e-08,,0.0001,0.0001,,,1.4285714285714285e-05,,0.0001,1.6666666666666667e-05
tr_time,0.22049399999999997,0.027825999999999906,0.01575799999999994,0.00943399999999972,0.00804500000000008,0.056472999999999995,0.013985000000000358,0.2685390000000005,0.71678,0.046502000000000265,0.39720799999999956,0.3609,0.4443769999999998,0.007776000000000227,0.0631750000000002,0.09730400000000006,0.0429520000000001,0.49788200000000016
train,0.9666666666666667,0.9833333333333333,0.4,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9666666666666667,0.9666666666666667,0.9166666666666666,0.9833333333333333,0.925,0.7833333333333333,1.0,0.8666666666666667,0.95
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,0,,,,,,,,,1,1,,
weights,,,,,,,,,,uniform,,,,,,,,
