,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,0.5,0.5,,,,,,
activation,,,,,,,,,,,,,tanh,,,,,
algorithm,SAMME,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,1e-05,,,,0.8,0.0008
bootstrap_features,,1.0,,,,,,,,,,,,,,,,
criterion,,,,gini,gini,gini,,friedman_mse,,,,,,,,entropy,,
early_stopping,,,,,,,,,,,,,True,,True,,,
f1_test,1.0,1.0,0.19444444444444445,1.0,0.9170695970695972,1.0,1.0,1.0,1.0,1.0,1.0,0.9722633744855967,0.9722633744855967,1.0,0.9722633744855967,1.0,1.0,1.0
f1_train,1.0,1.0,0.27421488638792463,1.0,1.0,1.0,0.9858838186540533,1.0,1.0,1.0,0.9718951155953144,0.9648009797917941,1.0,0.9574421222744149,0.9645289891518819,1.0,0.9648009797917941,0.978825487114157
l2_regularization,,,,,,,,,0.0,,,,,,,,,
learning_rate,0.5,,,,,,,0.8,,,,,constant,,,,,
loss,,,,,,,,deviance,,,,,,,hinge,,,squared_hinge
metric,,,,,,,,,,,,,,manhattan,,,,
multi_class,,,,,,,,,,,ovr,,,,,,,
n_estimators,30,30.0,,,,35,,,,,,,,,,25,,
n_neighbors,,,,,,,,,,4,,,,,,,,
oob_score,,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,1,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,l2
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,1.0,1.0,0.3333333333333333,1.0,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,0.9722222222222222,1.0,0.9722222222222222,1.0,1.0,1.0
tol,,,,,,,,1.6666666666666667e-06,1e-08,,0.0001,0.0001,,,3.3333333333333335e-05,,0.0001,5e-05
tr_time,0.24367499999999964,0.04594599999999982,0.017438999999999538,0.009537000000001683,0.010260999999999854,0.06038700000000041,0.014225999999998962,0.24460999999999977,2641.3608280000003,0.04951400000000028,0.0927509999999998,0.3917469999999996,0.2533999999999992,0.0073550000000004445,0.06850000000000023,0.08307800000000043,0.04581900000000072,0.5265459999999997
train,1.0,1.0,0.4225352112676056,1.0,1.0,1.0,0.9859154929577465,1.0,1.0,1.0,0.971830985915493,0.9647887323943662,1.0,0.9577464788732394,0.9647887323943662,1.0,0.9647887323943662,0.9788732394366197
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,0,0,,
weights,,,,,,,,,,distance,,,,,,,,
