,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,1.1,0.8,,,,,
activation,,,,,,,,,,,,,tanh,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.1,,,,,,,,,,5e-06,,,1.1,0.0011
bootstrap_features,,1.0,,,,,,,,,,,,,,,
criterion,,,,gini,entropy,entropy,,friedman_mse,,,,,,,entropy,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.3805599472990777,0.9033333333333331,0.0012195121951219514,0.590952380952381,0.4458333333333333,0.9349999999999999,0.9,0.6205952380952381,0.865,0.9741666666666667,0.9866666666666667,0.9466666666666667,0.8491666666666667,0.9409523809523808,0.9341666666666667,0.8733333333333334,0.96
f1_train,0.6033590606930708,1.0,0.12970397039703968,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9968627450980392,0.9667226890756304,1.0,0.9782655167330091,1.0,0.9635854341736694,1.0
l2_regularization,,,,,,,,,0.0,,,,,,,,
learning_rate,0.1,,,,,,,0.2,,,,,adaptive,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,euclidean,,,
multi_class,,,,,,,,,,,ovr,,,,,,
n_estimators,40,45.0,,,,45,,,,,,,,,45,,
n_neighbors,,,,,,,,,,3,,,,,,,
oob_score,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,2,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,none
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,
splitter,,,,best,best,,,,,,,,,,,,
test,0.3875,0.9125,0.025,0.6125,0.475,0.9375,0.9,0.6375,0.875,0.975,0.9875,0.95,0.8625,0.9375,0.9375,0.8875,0.9625
tol,,,,,,,,1.1111111111111112e-06,1e-08,,0.0001,0.0001,,,,0.0001,1.25e-05
tr_time,0.3462489999999998,0.36117200000000027,0.22428100000000128,0.2927219999999995,0.017421000000000575,0.09281600000000001,0.40774299999999997,1.9382190000000001,18.089879,0.06226100000000123,0.4820580000000003,3.9480519999999997,1.2509890000000006,0.010053000000000978,0.26093600000000006,0.1823719999999991,0.962669
train,0.575,1.0,0.103125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996875,0.96875,1.0,0.978125,1.0,0.965625,1.0
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,0,,,,,,,,,0,,
weights,,,,,,,,,,distance,,,,,,,
