,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,1.3,1.3,,,,,
activation,,,,,,,,,,,,,logistic,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.6,,,,,,,,,,1e-05,,,0.8,0.0009
bootstrap_features,,0.0,,,,,,,,,,,,,,,
criterion,,,,entropy,gini,gini,,friedman_mse,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.37333333333333335,0.6776190476190477,0.13858134920634918,0.4904761904761905,0.4104166666666666,0.7966666666666666,0.6416666666666667,0.565952380952381,0.6301190476190476,0.7976190476190477,0.7008333333333333,0.5941666666666666,0.7117857142857142,0.6260714285714286,0.7401190476190476,0.48166666666666663,0.738452380952381
f1_train,0.5982935774299953,1.0,0.214121420136642,1.0,1.0,1.0,0.8528955377697638,1.0,1.0,1.0,0.7767159081925539,0.6672153006559556,1.0,0.7563496597571675,1.0,0.49615942428633436,0.7964247070439021
l2_regularization,,,,,,,,,0.1,,,,,,,,
learning_rate,0.1,,,,,,,0.2,,,,,invscaling,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,euclidean,,,
multi_class,,,,,,,,,,,ovr,,,,,,
n_estimators,90,40.0,,,,45,,,,,,,,,35,,
n_neighbors,,,,,,,,,,3,,,,,,,
oob_score,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,2,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,none
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,
splitter,,,,best,best,,,,,,,,,,,,
test,0.4125,0.725,0.1875,0.525,0.45,0.8125,0.675,0.5875,0.675,0.825,0.7375,0.6625,0.7375,0.675,0.775,0.5625,0.7625
tol,,,,,,,,1e-05,1e-08,,0.0001,0.0001,,,,0.0001,2.5e-05
tr_time,0.3479650000000003,0.10699799999999993,0.019249000000000294,0.02429599999999965,0.013272999999999868,0.07050100000000015,0.02091300000000018,1.8542880000000004,9.727753000000002,0.051762000000000086,0.40693999999999875,0.784503,1.3643669999999997,0.009484000000000492,0.09966600000000003,0.1867750000000008,0.8985070000000004
train,0.596875,1.0,0.25625,1.0,1.0,1.0,0.853125,1.0,1.0,1.0,0.796875,0.696875,1.0,0.765625,1.0,0.56875,0.809375
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,0,,,,,,,,,1,,
weights,,,,,,,,,,distance,,,,,,,
