,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,1.4,1.4,,,,,
activation,,,,,,,,,,,,,tanh,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.1,,,,,,,,,,1.4285714285714286e-06,,,0.7,0.0008
bootstrap_features,,1.0,,,,,,,,,,,,,,,
criterion,,,,gini,gini,gini,,friedman_mse,,,,,,,entropy,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.5489880952380952,0.8541666666666666,0.0012195121951219514,0.5933333333333334,0.5002380952380951,0.8574999999999999,0.825,0.5966666666666666,0.7683333333333333,0.9116666666666667,0.8825,0.8816666666666666,0.7558333333333334,0.8716666666666665,0.7983333333333333,0.780952380952381,0.8975000000000002
f1_train,0.77844626103487,1.0,0.053783114160472656,1.0,1.0,1.0,0.9872128851540616,1.0,1.0,1.0,0.9713130252100841,0.9385381652661066,1.0,0.950204831932773,1.0,0.8544939299176917,0.980905695611578
l2_regularization,,,,,,,,,0.1,,,,,,,,
learning_rate,0.1,,,,,,,0.1,,,,,invscaling,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,euclidean,,,
multi_class,,,,,,,,,,,ovr,,,,,,
n_estimators,60,45.0,,,,45,,,,,,,,,45,,
n_neighbors,,,,,,,,,,3,,,,,,,
oob_score,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,3,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,none
solver,,,,,,,,,,,,saga,lbfgs,,,,
splitter,,,,best,best,,,,,,,,,,,,
test,0.5875,0.8625,0.025,0.625,0.5125,0.8875,0.8375,0.625,0.775,0.925,0.8875,0.8875,0.775,0.875,0.825,0.8125,0.9
tol,,,,,,,,5e-06,1e-08,,0.0001,3.3333333333333335e-05,,,,0.0001,1.6666666666666667e-05
tr_time,0.35805799999999977,0.21694800000000036,0.018369999999999997,0.020159999999998846,0.013509999999998357,0.10046700000000008,0.022937999999999903,2.2167770000000004,9.344843000000001,0.06192099999999989,0.4630389999999993,1.0908760000000006,0.7879449999999997,0.012929999999999886,0.22666400000000042,0.16592699999999994,0.9608039999999995
train,0.775,1.0,0.05625,1.0,1.0,1.0,0.9875,1.0,1.0,1.0,0.971875,0.940625,1.0,0.95,1.0,0.865625,0.98125
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,0,,,,,,,,,0,,
weights,,,,,,,,,,distance,,,,,,,
