,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,1.1,0.5,,,,,,
activation,,,,,,,,,,,,,logistic,,,,,
algorithm,SAMME,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,1e-05,,,,1.1,0.001
bootstrap_features,,0.0,,,,,,,,,,,,,,,,
criterion,,,,gini,gini,gini,,friedman_mse,,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,False,,,
f1_test,0.9665831244778613,0.9665831244778613,0.16666666666666666,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.7713450292397661,0.8,0.9333333333333333,0.8666666666666667,0.7569479965899402,0.9333333333333333,0.6992481203007518,0.8364243943191312
f1_train,0.9916653643798509,0.9916653643798509,0.21636300794943958,1.0,1.0,1.0,0.9916653643798509,1.0,1.0,0.9833333333333333,0.9249882794186592,0.9083190081783613,1.0,0.9833229101521785,0.9320278132538669,0.9916653643798511,0.8748239712095134,0.9583268218992551
l2_regularization,,,,,,,,,0.0,,,,,,,,,
learning_rate,0.5,,,,,,,0.1,,,,,constant,,,,,
loss,,,,,,,,deviance,,,,,,,hinge,,,squared_hinge
metric,,,,,,,,,,,,,,manhattan,,,,
multi_class,,,,,,,,,,,ovr,,,,,,,
n_estimators,30,15.0,,,,15,,,,,,,,,,10,,
n_neighbors,,,,,,,,,,3,,,,,,,,
oob_score,,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,1,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,l2
solver,,,,,,,,,,,,liblinear,lbfgs,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,0.9666666666666667,0.9666666666666667,0.3333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.7666666666666667,0.8,0.9333333333333333,0.8666666666666667,0.7666666666666667,0.9333333333333333,0.7,0.8333333333333334
tol,,,,,,,,1e-05,1e-08,,0.0001,0.0001,,,3.3333333333333335e-05,,0.0001,0.0001
tr_time,0.23794300000000002,0.03362899999999991,0.015201999999999938,0.00912299999999977,0.00927699999999998,0.045655,0.016730000000000356,0.2490859999999997,0.6227230000000001,0.06070600000000015,0.08941599999999994,0.3071869999999999,0.30095099999999997,0.009025999999999978,0.06422999999999979,0.07859399999999983,0.04573399999999994,0.5065720000000002
train,0.9916666666666667,0.9916666666666667,0.35833333333333334,1.0,1.0,1.0,0.9916666666666667,1.0,1.0,0.9833333333333333,0.925,0.9083333333333333,1.0,0.9833333333333333,0.9333333333333333,0.9916666666666667,0.875,0.9583333333333334
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,1,1,,
weights,,,,,,,,,,uniform,,,,,,,,
