,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,0.7,1.4,,,,,
activation,,,,,,,,,,,,,tanh,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.2,,,,,,,,,,1.25e-06,,,0.5,0.0011
bootstrap_features,,1.0,,,,,,,,,,,,,,,
criterion,,,,gini,gini,gini,,friedman_mse,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.554861111111111,0.86,0.6983333333333333,0.3988095238095238,0.4223809523809524,0.8966666666666667,0.7181746031746032,0.5901190476190475,0.8008333333333333,0.8941666666666667,0.8825,0.8641666666666665,0.85,0.815952380952381,0.9083333333333334,0.875,0.8708333333333332
f1_train,0.8664787628951715,1.0,0.9128080334697982,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9934873949579831,1.0,0.9589641690009337,1.0,0.9778011204481792,1.0
l2_regularization,,,,,,,,,0.0,,,,,,,,
learning_rate,0.1,,,,,,,0.1,,,,,invscaling,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,euclidean,,,
multi_class,,,,,,,,,,,ovr,,,,,,
n_estimators,80,40.0,,,,40,,,,,,,,,45,,
n_neighbors,,,,,,,,,,3,,,,,,,
oob_score,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,1,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,none
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,
splitter,,,,random,best,,,,,,,,,,,,
test,0.5625,0.8625,0.7125,0.4125,0.4625,0.9,0.725,0.6125,0.8125,0.9,0.8875,0.875,0.85,0.825,0.9125,0.8875,0.875
tol,,,,,,,,5e-06,1e-08,,0.0001,0.0001,,,,0.0001,1.4285714285714285e-05
tr_time,0.4017380000000017,0.26495700000000255,0.2823039999999999,0.34112099999999757,0.014419000000000182,0.07165999999999784,0.3919010000000007,2.3695319999999995,17.619135999999997,0.062369999999997816,0.5248740000000005,4.023900999999999,0.9844030000000004,0.009778999999998206,0.1303839999999994,0.19706000000000046,0.9346499999999978
train,0.871875,1.0,0.9125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99375,1.0,0.959375,1.0,0.978125,1.0
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,1,,
weights,,,,,,,,,,distance,,,,,,,
