,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,1.3,1.4,,,,,
activation,,,,,,,,,,,,,tanh,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.1,,,,,,,,,,2.5e-06,,,1.2,0.0009
bootstrap_features,,1.0,,,,,,,,,,,,,,,
criterion,,,,gini,gini,gini,,friedman_mse,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.25569444444444445,0.8267857142857142,0.0012195121951219514,0.5683333333333334,0.46333333333333326,0.9341666666666665,0.8975000000000002,0.5954761904761904,0.7916666666666667,0.9333333333333332,0.9466666666666665,0.8833333333333332,0.8458333333333332,0.8958333333333333,0.845,0.8349999999999997,0.8808333333333334
f1_train,0.37887027914547877,1.0,0.07682944090587403,1.0,1.0,1.0,0.9937254901960785,1.0,1.0,1.0,0.9780392156862746,0.9188233498527616,1.0,0.937593370681606,1.0,0.886430974211547,0.9750029178338003
l2_regularization,,,,,,,,,0.0,,,,,,,,
learning_rate,0.1,,,,,,,0.1,,,,,constant,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,euclidean,,,
multi_class,,,,,,,,,,,ovr,,,,,,
n_estimators,70,35.0,,,,45,,,,,,,,,45,,
n_neighbors,,,,,,,,,,3,,,,,,,
oob_score,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,1,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,none
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,
splitter,,,,best,best,,,,,,,,,,,,
test,0.3125,0.8375,0.025,0.6,0.5,0.9375,0.9,0.625,0.8125,0.9375,0.95,0.8875,0.8625,0.9,0.85,0.85,0.8875
tol,,,,,,,,1.1111111111111112e-06,1e-08,,0.0001,0.0001,,,,0.0001,1.25e-05
tr_time,0.3560410000000047,0.15216200000000413,0.020533999999997832,0.01963099999997553,0.014031000000017002,0.07886299999998414,0.021524999999996908,2.1360260000000153,16.521728999999993,0.06175899999999501,0.45190499999998224,1.063980999999984,1.113587999999993,0.009982000000007929,0.12300600000000372,0.18133100000000013,0.8499339999999904
train,0.403125,1.0,0.06875,1.0,1.0,1.0,0.99375,1.0,1.0,1.0,0.978125,0.921875,1.0,0.9375,1.0,0.890625,0.975
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,0,,
weights,,,,,,,,,,distance,,,,,,,
