,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,1.4,1.2,,,,,
activation,,,,,,,,,,,,,tanh,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.1,,,,,,,,,,5e-06,,,0.5,0.0008
bootstrap_features,,1.0,,,,,,,,,,,,,,,
criterion,,,,gini,gini,gini,,friedman_mse,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.35184523809523804,0.8474999999999999,0.0012195121951219514,0.5922619047619048,0.5433333333333333,0.8883333333333333,0.8508333333333333,0.6019047619047619,0.7866666666666666,0.8401190476190475,0.9133333333333333,0.7959523809523809,0.8850000000000001,0.8401190476190475,0.7892857142857143,0.7875,0.8800000000000001
f1_train,0.5822825084272452,1.0,0.05125391849529781,1.0,1.0,1.0,0.9905882352941177,1.0,1.0,1.0,0.9811887254901961,0.8801708173147802,1.0,0.9252157070655525,1.0,0.8664110440213382,0.9648301820728292
l2_regularization,,,,,,,,,0.0,,,,,,,,
learning_rate,0.1,,,,,,,0.1,,,,,constant,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,euclidean,,,
multi_class,,,,,,,,,,,ovr,,,,,,
n_estimators,70,40.0,,,,45,,,,,,,,,40,,
n_neighbors,,,,,,,,,,3,,,,,,,
oob_score,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,1,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,none
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,
splitter,,,,best,best,,,,,,,,,,,,
test,0.375,0.85,0.025,0.6125,0.55,0.9,0.8625,0.625,0.8,0.85,0.925,0.8125,0.9,0.85,0.7875,0.825,0.8875
tol,,,,,,,,5e-06,1e-08,,0.0001,0.0001,,,,0.0001,1.1111111111111112e-05
tr_time,0.338025,0.20455600000000018,0.01780000000000026,0.019540000000000113,0.01328899999999944,0.07988600000000012,0.020207000000000086,2.1237320000000004,17.024251,0.06379100000000015,0.458577,0.7858580000000002,1.0212509999999995,0.011148999999999631,0.12913099999999966,0.1636999999999995,0.972016
train,0.571875,1.0,0.053125,1.0,1.0,1.0,0.990625,1.0,1.0,1.0,0.98125,0.8875,1.0,0.925,1.0,0.88125,0.965625
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,0,,,,,,,,,0,,
weights,,,,,,,,,,distance,,,,,,,
